
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		1,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		1,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		1,		-1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		1,		-1	// Sellvalue -1 means it can not be selled
		WoolCoat_Blue,			*,		18,		1
		WoolCoat_BlueCheck,		*,		18,		1
		WoolCoat_GreyCheck,		*,		18,		1
		WoolCoat_BrownCheck,	*,		18,		1
		WoolCoat_Beige,			*,		18,		1
		WoolCoat_Black,			*,		19,		1
		WoolCoat_BlackCheck,	*,		19,		1
		WoolCoat_Green,			*,		20,		1
		RidersJacket_Black,		*,		20,		1
		FirefighterJacket_Beige,*,		24,		1
		FirefighterJacket_Black,*,		24,		1
		JumpsuitJacket_Red,		*,		26,		1
		JumpsuitJacket_Blue,	*,		26,		1
		JumpsuitJacket_Gray,	*,		26,		1
		JumpsuitJacket_Green,	*,		26,		1
		BomberJacket_Maroon,	*,		26,		1
		BomberJacket_SkyBlue,	*,		26,		1
		BomberJacket_Blue,		*,		26,		1
		BomberJacket_Grey,		*,		26,		1
		BomberJacket_Brown,		*,		26,		1
		BomberJacket_Black,		*,		28,		1
		BomberJacket_Olive,		*,		30,		1
		QuiltedJacket_Orange,	*,		26,		1
		QuiltedJacket_Yellow,	*,		26,		1
		QuiltedJacket_Red,		*,		26,		1
		QuiltedJacket_Violet,	*,		26,		1
		QuiltedJacket_Blue,		*,		26,		1
		QuiltedJacket_Grey,		*,		26,		1
		QuiltedJacket_Black,	*,		28,		1
		QuiltedJacket_Green,	*,		30,		1
		PrisonUniformJacket,	*,		28,		1
		PoliceJacketOrel,		*,		32,		1
		PoliceJacket,			*,		34,		1
		ParamedicJacket_Crimson,*,		36,		1
		ParamedicJacket_Blue,	*,		36,		1
		ParamedicJacket_Green,	*,		36,		1
		HikingJacket_Red,		*,		36,		1
		HikingJacket_Blue,		*,		38,		1
		HikingJacket_Black,		*,		38,		1
		HikingJacket_Green,		*,		40,		1
		Raincoat_Pink,			*,		70,		1
		Raincoat_Orange,		*,		70,		1
		Raincoat_Yellow,		*,		70,		1
		Raincoat_Red,			*,		70,		1
		Raincoat_Blue,			*,		70,		1
		Raincoat_Black,			*,		80,		1
		Raincoat_Green,			*,		100,	1
		TTsKOJacket_Camo,		*,		100,	1
		BDUJacket,				*,		100,	1
		HuntingJacket_Winter,	*,		120,	3
		HuntingJacket_Brown,	*,		120,	3
		HuntingJacket_Autumn,	*,		120,	3
		HuntingJacket_Spring,	*,		120,	3
		HuntingJacket_Summer,	*,		120,	3
		M65Jacket_Tan,			*,		130,	4
		M65Jacket_Black,		*,		130,	4
		M65Jacket_Khaki,		*,		130,	4
		M65Jacket_Olive,		*,		130,	4
		GorkaEJacket_Autumn,	*,		140,	4
		GorkaEJacket_Flat,		*,		140,	4
		GorkaEJacket_PautRev,	*,		140,	4
		GorkaEJacket_Summer,	*,		140,	4
		USMCJacket_Desert,		*,		140,	4
		USMCJacket_Woodland,	*,		155,	5
		NBCJacketGray,			*,		250,	8

	<Category> Skirts & Dresses
		Skirt_Yellow,			*,		30,		1
		Skirt_Red,				*,		30,		1
		Skirt_Blue,				*,		30,		1
		Skirt_White,			*,		30,		1
		MiniDress_Pink,			*,		35,		1
		MiniDress_PinkChecker,	*,		35,		1
		MiniDress_RedChecker,	*,		35,		1
		MiniDress_BlueChecker,	*,		35,		1
		MiniDress_BlueWithDots,	*,		35,		1
		MiniDress_WhiteChecker,	*,		35,		1
		MiniDress_BrownChecker,	*,		35,		1
		MiniDress_GreenChecker,	*,		35,		1
		NurseDress_Blue,		*,		40,		1
		NurseDress_White,		*,		40,		1

	<Category> Pants
		MedicalScrubsPants_Blue,*,		10,		1
		MedicalScrubsPants_White,*,		10,		1
		MedicalScrubsPants_Green,*,		10,		1
		TrackSuitPants_Red,		*,		15,		1
		TrackSuitPants_LightBlue,*,		15,		1
		TrackSuitPants_Blue,	*,		15,		1
		TrackSuitPants_Black,	*,		15,		1
		TrackSuitPants_Green,	*,		15,		1
		PrisonUniformPants,		*,		17,		1
		Breeches_Pink,			*,		20,		1
		Breeches_Red,			*,		20,		1
		Breeches_Blue,			*,		20,		1
		Breeches_White,			*,		20,		1
		Breeches_Beetcheck,		*,		20,		1
		Breeches_Beige,			*,		21,		1
		Breeches_Browncheck,	*,		21,		1
		Breeches_Black,			*,		22,		1
		Breeches_Blackcheck,	*,		22,		1
		Breeches_Green,			*,		24,		1
		SlacksPants_Blue,		*,		20,		1
		SlacksPants_White,		*,		20,		1
		SlacksPants_LightGrey,	*,		20,		1
		SlacksPants_DarkGrey,	*,		20,		1
		SlacksPants_Beige,		*,		20,		1
		SlacksPants_Brown,		*,		21,		1
		SlacksPants_Black,		*,		22,		1
		SlacksPants_Khaki,		*,		24,		1
		CanvasPantsMidi_Red,	*,		24,		1
		CanvasPantsMidi_Violet,	*,		24,		1
		CanvasPantsMidi_Blue,	*,		24,		1
		CanvasPantsMidi_Grey,	*,		24,		1
		CanvasPantsMidi_Beige,	*,		25,		1	
		CanvasPants_Red,		*,		26,		1
		CanvasPants_Violet,		*,		26,		1
		CanvasPants_Blue,		*,		26,		1
		CanvasPants_Grey,		*,		26,		1
		CanvasPants_Beige,		*,		28,		1
		JumpsuitPants_Red,		*,		28,		1
		JumpsuitPants_Blue,		*,		28,		1
		JumpsuitPants_Grey,		*,		28,		1
		JumpsuitPants_Green,	*,		28,		1
		PolicePants,			*,		28,		1
		ParamedicPants_Crimson,	*,		35,		1
		ParamedicPants_Blue,	*,		35,		1
		ParamedicPants_Green,	*,		35,		1
		FirefightersPants_Beige,*,		35,		1
		FirefightersPants_Black,*,		35,		1
		CargoPants_Blue,		*,		35,		1
		CargoPants_Grey,		*,		35,		1
		CargoPants_Beige,		*,		35,		1
		CargoPants_Black,		*,		35,		1
		CargoPants_Green,		*,		35,		1
		ShortJeans_Red,			*,		38,		1
		ShortJeans_Blue,		*,		38,		1
		ShortJeans_Darkblue,	*,		38,		1
		ShortJeans_Brown,		*,		38,		1
		ShortJeans_Black,		*,		40,		1
		ShortJeans_Green,		*,		42,		1
		Jeans_Blue,				*,		40,		1
		Jeans_BlueDark,			*,		40,		1
		Jeans_Grey,				*,		40,		1
		Jeans_Brown,			*,		40,		1
		Jeans_Black,			*,		42,		1
		Jeans_Green,			*,		45,		1	
		TTSKOPants,				*,		55,		1
		BDUPants,				*,		65,		1
		USMCPants_Desert,		*,		65,		1
		USMCPants_Woodland,		*,		70,		2
		PolicePantsOrel,		*,		70,		2
		HunterPants_Winter,		*,		90,		2
		HunterPants_Brown,		*,		100,	3
		HunterPants_Spring,		*,		100,	3
		HunterPants_Autumn,		*,		100,	3
		HunterPants_Summer,		*,		100,	3
		GorkaPants_Flat,		*,		130,	4
		GorkaPants_PautRev,		*,		130,	4
		GorkaPants_Autumn,		*,		130,	4
		GorkaPants_Summer,		*,		130,	4
		NBCPantsGray,			*,		200,	5
	
	<Category> Shoes & Boots
		AthleticShoes_Blue,		*,		17,		1
		AthleticShoes_Grey,		*,		20,		1
		AthleticShoes_Brown,	*,		20,		1
		AthleticShoes_Black,	*,		23,		1
		AthleticShoes_Green,	*,		23,		1
		JoggingShoes_Violet,	*,		30,		1
		JoggingShoes_Red,		*,		30,		1
		JoggingShoes_Blue,		*,		30,		1
		JoggingShoes_White,		*,		30,		1
		JoggingShoes_Black,		*,		30,		1
		Sneakers_Red,			*,		30,		1
		Sneakers_White,			*,		30,		1	
		Sneakers_Gray,			*,		30,		1
		Sneakers_Black,			*,		31,		1
		Sneakers_Green,			*,		32,		1
		DressShoes_White,		*,		32,		1
		DressShoes_Brown,		*,		35,		1
		DressShoes_Black,		*,		35,		1
		DressShoes_Beige,		*,		35,		1
		DressShoes_Sunburst,	*,		35,		1
		HikingBootsLow_Blue,	*,		45,		1
		HikingBootsLow_Grey,	*,		45,		1
		HikingBootsLow_Beige,	*,		48,		1
		HikingBootsLow_Black,	*,		50,		1
		WorkingBoots_Yellow,	*,		55,		1
		WorkingBoots_Grey,		*,		60,		1
		WorkingBoots_Beige,		*,		60,		1
		WorkingBoots_Brown,		*,		60,		1
		WorkingBoots_Green,		*,		65,		1
		HikingBoots_Brown,		*,		75,		2
		HikingBoots_Black,		*,		75,		2
		CombatBoots_Grey,		*,		80,		2
		CombatBoots_Beige,		*,		80,		2
		CombatBoots_Brown,		*,		80,		2
		CombatBoots_Black,		*,		80,		2
		CombatBoots_Green,		*,		80,		2
		JungleBoots_Beige,		*,		85,		2
		JungleBoots_Brown,		*,		85,		2
		JungleBoots_Black,		*,		85,		2
		JungleBoots_Olive,		*,		85,		2
		JungleBoots_Green,		*,		85,		2
		Wellies_Grey,			*,		85,		2
		Wellies_Brown,			*,		85,		2
		Wellies_Black,			*,		85,		2
		Wellies_Green,			*,		90,		2
		TTSKOBoots,				*,		100,	3
		MilitaryBoots_Redpunk,	*,		100,	3
		MilitaryBoots_Bluerock,	*,		105,	3
		MilitaryBoots_Beige,	*,		110,	3
		MilitaryBoots_Brown,	*,		110,	3
		MilitaryBoots_Black,	*,		110,	3
		NBCBootsGray,			*,		150,	5

	<Category> Ghillie
		// Keep in Mind that Players can also 
		// craft Ghillie Clothing and sell them!
		GhillieAtt_Mossy,		*,		220,	7
		GhillieAtt_Tan,			*,		220,	7
		GhillieAtt_Woodland,	*,		220,	7
		GhillieHood_Mossy,		*,		220,	7
		GhillieHood_Tan,		*,		220,	7
		GhillieHood_Woodland,	*,		220,	7
		GhillieBushrag_Mossy,	*,		400,	13
		GhillieBushrag_Tan,		*,		400,	13
		GhillieBushrag_Woodland,*,		400,	13
		GhillieTop_Mossy,		*,		600,	20
		GhillieTop_Tan,			*,		600,	20
		GhillieTop_Woodland,	*,		600,	200
		GhillieSuit_Mossy,		*,		1000,	30
		GhillieSuit_Tan,		*,		1000,	30
		GhillieSuit_Woodland,	*,		1000,	30
		
	//<Category> Seasonal
		//SantasBeard,			*,		15,		0
		//SantasHat,			*,		35,		0
		//PumpkinHelmet,		*,		50,		0

	<Category> Holster & Pouches
		ChestHolster,			*,		60,		2
		PlateCarrierHolster,	*,		60,		2
		PlateCarrierPouches,	*,		100,		2
		
	<Category> Belt
		CivilianBelt,			*,		100,	3
		MilitaryBelt,			*,		100,	3
		
	<Category> Bags
		ChildBag_Red,			*,		20,		1
		ChildBag_Blue,			*,		20,		1
		ChildBag_Green,			*,		25,		1
		DryBag_Yellow,			*,		30,		1
		DryBag_Orange,			*,		30,		1
		DryBag_Red,			*,		30,		1
		DryBag_Blue,			*,		30,		1
		DryBag_Black,			*,		35,		1
		DryBag_Green,			*,		40,		1
		TaloonBag_Orange,		*,		50,		1
		TaloonBag_Violet,		*,		50,		1
		TaloonBag_Blue,			*,		50,		1
		TaloonBag_Green,		*,		70,		2
		SmershBag,			*,		100,	3
		WaterproofBag_Yellow,	*,		100,	3
		WaterproofBag_Orange,	*,		100,	3
		WaterproofBag_Green,	*,		110,	3
		AssaultBag_Black,		*,		110,	3
		AssaultBag_Green,		*,		110,	3
		AssaultBag_Ttsko,		*,		130,	3
		HuntingBag,				*,		130,	3
		TortillaBag,			*,		180,	6
		CoyoteBag_Brown,		*,		180,	6
		CoyoteBag_Green,		*,		180,	6
		MountainBag_Orange,		*,		300,	8
		MountainBag_Red,		*,		300,	8
		MountainBag_Blue,		*,		300,	8
		MountainBag_Green,		*,		360,	10
		AliceBag_Black,			*,		400,	15
		AliceBag_Green,			*,		400,	15
		AliceBag_Camo,			*,		500,	22


	
	
<Trader> Vehicles Trader
	<Category> Vehicles
		OffroadHatchback,		V,		14000,	800	// Use VNK instead of V as Quantity to not give a Vehicle Key when bought.
		OffroadHatchback_Blue,	V,		14000,	800
		OffroadHatchback_White,	V,		14000,	800
		Hatchback_02,			V,		16000,	960
		Hatchback_02_Blue,		V,		16000,	960
		Hatchback_02_Black,		V,		16000,	960
		Sedan_02,				V,		180,	102
		Sedan_02_Red,			V,		18000,	1020
		Sedan_02_Grey,			V,		18000,	1020
		CivilianSedan,			V,		20000,	1100
		CivilianSedan_Wine,		V,		20000,	1100
		CivilianSedan_Black,	V,		20000,	1100
	
	<Category> Vehicle Parts
		HeadlightH7_Box,		*,		30,		1
		SparkPlug,				*,		60,		4
		EngineOil,				*,		70,		4
		CarBattery,				*,		100,	5
		TruckBattery,			*,		180,	10
		CarRadiator,			*,		200,	10
		TireRepairKit,			*,		220,	10
		HatchbackHood,						*,		300,	10
		HatchbackHood_Blue,					*,		300,	10
		HatchbackHood_White,				*,		300,	10
		HatchbackHood_GreenRust,			*,		300,	10
		HatchbackHood_BlueRust,				*,		300,	10
		HatchbackHood_WhiteRust,			*,		300,	10
		HatchbackTrunk,						*,		380,	13
		HatchbackTrunk_Blue,				*,		380,	13
		HatchbackTrunk_White,				*,		380,	13
		HatchbackTrunk_GreenRust,			*,		380,	13
		HatchbackTrunk_BlueRust,			*,		380,	13
		HatchbackTrunk_WhiteRust,			*,		380,	13
		HatchbackDoors_Driver,				*,		450,	16
		HatchbackDoors_Driver_Blue,			*,		450,	16
		HatchbackDoors_Driver_White,		*,		450,	16
		HatchbackDoors_Driver_GreenRust,	*,		450,	16
		HatchbackDoors_Driver_BlueRust,		*,		450,	16
		HatchbackDoors_Driver_WhiteRust,	*,		450,	16
		HatchbackDoors_CoDriver,			*,		450,	16
		HatchbackDoors_CoDriver_Blue,		*,		450,	16
		HatchbackDoors_CoDriver_White,		*,		450,	16
		HatchbackDoors_CoDriver_GreenRust,	*,		450,	16
		HatchbackDoors_CoDriver_BlueRust,	*,		450,	16
		HatchbackDoors_CoDriver_WhiteRust,	*,		450,	16
		HatchbackWheel,						*,		500,	10
		Hatchback_02_Hood,				*,		300,	10
		Hatchback_02_Hood_Black,		*,		300,	10
		Hatchback_02_Hood_Blue,			*,		300,	10
		Hatchback_02_Hood_RedRust,		*,		300,	10
		Hatchback_02_Hood_BlackRust,	*,		300,	10
		Hatchback_02_Hood_BlueRust,		*,		300,	10
		Hatchback_02_Trunk,				*,		380,	13
		Hatchback_02_Trunk_Black,		*,		380,	13
		Hatchback_02_Trunk_Blue,		*,		380,	13
		Hatchback_02_Trunk_RedRust,		*,		380,	13
		Hatchback_02_Trunk_BlackRust,	*,		380,	13
		Hatchback_02_Trunk_BlueRust,	*,		380,	13
		Hatchback_02_Door_1_1,			*,		450,	16
		Hatchback_02_Door_1_1_Black,	*,		450,	16
		Hatchback_02_Door_1_1_Blue,		*,		450,	16
		Hatchback_02_Door_1_1_RedRust,	*,		450,	16
		Hatchback_02_Door_1_1_BlackRust,*,		450,	16
		Hatchback_02_Door_1_1_BlueRust,	*,		450,	16
		Hatchback_02_Door_1_2,			*,		450,	16
		Hatchback_02_Door_1_2_Black,	*,		450,	16
		Hatchback_02_Door_1_2_Blue,		*,		450,	16
		Hatchback_02_Door_1_2_RedRust,	*,		450,	16
		Hatchback_02_Door_1_2_BlackRust,*,		450,	16
		Hatchback_02_Door_1_2_BlueRust,	*,		450,	16
		Hatchback_02_Door_2_1,			*,		450,	16
		Hatchback_02_Door_2_1_Black,	*,		450,	16
		Hatchback_02_Door_2_1_Blue,		*,		450,	16
		Hatchback_02_Door_2_1_RedRust,	*,		450,	16
		Hatchback_02_Door_2_1_BlackRust,*,		450,	16
		Hatchback_02_Door_2_1_BlueRust,	*,		450,	16
		Hatchback_02_Door_2_2,			*,		450,	16
		Hatchback_02_Door_2_2_Black,	*,		450,	16
		Hatchback_02_Door_2_2_Blue,		*,		450,	16
		Hatchback_02_Door_2_2_RedRust,	*,		450,	16
		Hatchback_02_Door_2_2_BlackRust,*,		450,	16
		Hatchback_02_Door_2_2_BlueRust,	*,		450,	16
		Hatchback_02_Wheel,				*,		500,	10
		Sedan_02_Hood,					*,		300,	10
		Sedan_02_Hood_Red,				*,		300,	10
		Sedan_02_Hood_Grey,				*,		300,	10
		Sedan_02_Hood_YellowRust,		*,		300,	10
		Sedan_02_Hood_RedRust,			*,		300,	10
		Sedan_02_Hood_GreyRust,			*,		300,	10
		Sedan_02_Trunk,					*,		450,	15
		Sedan_02_Trunk_Red,				*,		450,	15
		Sedan_02_Trunk_Grey,			*,		450,	15
		Sedan_02_Trunk_YellowRust,		*,		450,	15
		Sedan_02_Trunk_RedRust,			*,		450,	15
		Sedan_02_Trunk_GreyRust,		*,		450,	15
		Sedan_02_Door_1_1,				*,		450,	16
		Sedan_02_Door_1_1_Red,			*,		450,	16
		Sedan_02_Door_1_1_Grey,			*,		450,	16
		Sedan_02_Door_1_1_YellowRust,	*,		450,	16
		Sedan_02_Door_1_1_RedRust,		*,		450,	16
		Sedan_02_Door_1_1_GreyRust,		*,		450,	16
		Sedan_02_Door_1_2,				*,		450,	16
		Sedan_02_Door_1_2_Red,			*,		450,	16
		Sedan_02_Door_1_2_Grey,			*,		450,	16
		Sedan_02_Door_1_2_YellowRust,	*,		450,	16
		Sedan_02_Door_1_2_RedRust,		*,		450,	16
		Sedan_02_Door_1_2_GreyRust,		*,		450,	16
		Sedan_02_Door_2_1,				*,		450,	16
		Sedan_02_Door_2_1_Red,			*,		450,	16
		Sedan_02_Door_2_1_Grey,			*,		450,	16
		Sedan_02_Door_2_1_YellowRust,	*,		450,	16
		Sedan_02_Door_2_1_RedRust,		*,		450,	16
		Sedan_02_Door_2_1_GreyRust,		*,		450,	16
		Sedan_02_Door_2_2,				*,		450,	16  
		Sedan_02_Door_2_2_Red,			*,		450,	16
		Sedan_02_Door_2_2_Grey,			*,		450,	16 
		Sedan_02_Door_2_2_YellowRust,	*,		450,	16  
		Sedan_02_Door_2_2_RedRust,		*,		450,	16 
		Sedan_02_Door_2_2_GreyRust,		*,		450,	16  
		Sedan_02_Wheel,					*,		500,	10
		CivSedanHood,						*,		400,	14
		CivSedanHood_Wine,					*,		400,	14
		CivSedanHood_Black,					*,		400,	14
		CivSedanHood_WhiteRust,				*,		400,	14
		CivSedanHood_WineRust,				*,		400,	14
		CivSedanHood_BlackRust,				*,		400,	14
		CivSedanTrunk,						*,		450,	15
		CivSedanTrunk_Wine,					*,		450,	150
		CivSedanTrunk_Black,				*,		450,	15
		CivSedanTrunk_WhiteRust,			*,		450,	15
		CivSedanTrunk_WineRust,				*,		450,	15
		CivSedanTrunk_BlackRust,			*,		450,	15
		CivSedanDoors_Driver,				*,		500,	18
		CivSedanDoors_Driver_Wine,			*,		500,	18
		CivSedanDoors_Driver_Black,			*,		500,	18
		CivSedanDoors_Driver_WhiteRust,		*,		500,	18
		CivSedanDoors_Driver_WineRust,		*,		500,	18
		CivSedanDoors_Driver_BlackRust,		*,		500,	18
		CivSedanDoors_CoDriver,				*,		500,	18
		CivSedanDoors_CoDriver_Wine,		*,		500,	18
		CivSedanDoors_CoDriver_Black,		*,		500,	18
		CivSedanDoors_CoDriver_WhiteRust,	*,		500,	18
		CivSedanDoors_CoDriver_WineRust,	*,		500,	18
		CivSedanDoors_CoDriver_BlackRust,	*,		500,	18
		CivSedanDoors_BackLeft,				*,		500,	18
		CivSedanDoors_BackLeft_Wine,		*,		500,	18
		CivSedanDoors_BackLeft_Black,		*,		500,	18
		CivSedanDoors_BackLeft_WhiteRust,	*,		500,	18
		CivSedanDoors_BackLeft_WineRust,	*,		500,	18
		CivSedanDoors_BackLeft_BlackRust,	*,		500,	18
		CivSedanDoors_BackRight,			*,		500,	18
		CivSedanDoors_BackRight_Wine,		*,		500,	18
		CivSedanDoors_BackRight_Black,		*,		500,	18
		CivSedanDoors_BackRight_WhiteRust,	*,		500,	18
		CivSedanDoors_BackRight_WineRust,	*,		500,	18
		CivSedanDoors_BackRight_BlackRust,	*,		500,	18
		CivSedanWheel,						*,		600,	12
		
	<Category> Keys
		VehicleKeyDuplicate,	K,		2000,	-1 		// The choosen Classname here only gets displayed in the UI (Name/Description); Make Sure SellValue is set to -1
		
		
//<OpenFile> FileName.txt								// Links to another File; Must be right above <FileEnd>!
<FileEnd>												// This has to be on the End of this File and is very importand!
